source_file,ui_router_state,url,controller
public/js/custom-states.js,app.facilitytab.billingsetting,/billingsetting,billingSettingFormController
public/js/custom-states.js,app.facilitytab.billsetting,/billsetting,billsettingFormController
public/js/custom-states.js,app.facilitytab.generalsetting,/generalsetting,generalsettingFormController
public/js/custom-states.js,app.facilitytab.holidaysetting,/holidaysetting,facilityHolidayListController
public/js/custom-states.js,app.facilitytab.printsetting,/printsetting,printsettingFormController
public/js/custom-states.js,app.facilitytab.smssetting,/ smssetting,smssettingFormController
public/js/custom-states.js,app.facilitytab.smssettings,/smssettings,smssettingsFormController
public/js/custom-states.js,app.feedbackmasters,/feedbackmasters,feedbackListController
public/js/custom-states.js,app.fileissues,/fileissues,FileReceiveController
public/js/custom-states.js,app.filerequest,/filerequest,filerequestController
public/js/custom-states.js,app.filetransfer,/filetransfer,FileTransferController
public/js/custom-states.js,app.fitnesscertificate,/fitnesscertificate/:id,FitnessFormController
public/js/custom-states.js,app.generalboard,/generalboard,generalboardsController
public/js/custom-states.js,app.generaldisplay,/generaldisplay,generaldisplayListController
public/js/custom-states.js,app.genericmasterreport,/genericmasterreport,GenericMasterReportController
public/js/custom-states.js,app.grnreport,/grnreport,GRNReportController
public/js/custom-states.js,app.grnreportbyitem,/grnreportbyitem,GrnReportByItemController
public/js/custom-states.js,app.impressionmaster,/impressionmaster,ImpressionMasterListController
public/js/custom-states.js,app.inactivepatientreport,/inactivepatientreport,InActivePatientReportController
public/js/custom-states.js,app.indications,/indications,indicationListController
public/js/custom-states.js,app.insurancelistreport,/insurancelistreport,InsuranceListReportController
public/js/custom-states.js,app.inventorydashboard,/inventorydashboard/:tp,inventorydashboardController
public/js/custom-states.js,app.invoicesummarybysupplier,/invoicesummarybysupplier,InvoiceSummaryBySupplierController
public/js/custom-states.js,app.ipadmissioninsurancereport,/ipadmissioninsurancereport,IPAdmissionInsuranceReportController
public/js/custom-states.js,app.ipadmissionreport,/ipadmissionreport,IPAdmissionReportController
public/js/custom-states.js,app.ipdischargereport,/ipdischargereport,IPDischargeReportController
public/js/custom-states.js,app.ipoccupancybyward,/ipoccupancybyward,IPOccupancyByWardController
public/js/custom-states.js,app.ipoccupancyreport,/ipoccupancyreport,IPOccupancyReportController
public/js/custom-states.js,app.ipopreports,/ipopreports,ipopReportController
public/js/custom-states.js,app.ippharmacyissuevoucherreport,/ippharmacyissuevoucherreport,IPPharmacyIssueVoucherReportController
public/js/custom-states.js,app.ippharmacyreturnvoucherreport,/ippharmacyreturnvoucherreport,IPPharmacyReturnVoucherReportController
public/js/custom-states.js,app.ipreferraldoctorreport,/ipreferraldoctorreport,IPReferralDoctorReportController
public/js/custom-states.js,app.ipserviceitemreport,/ipserviceitemreport,IPserviceItemReportController
public/js/custom-states.js,app.itemmasterreport,/itemmasterreport,ItemMasterReportController
public/js/custom-states.js,app.itemreorderlistreport,/itemreorderlistreport,ItemReorderListReportController
public/js/custom-states.js,app.labresultreview-form,/labresults,LabResultReviewFormController
public/js/custom-states.js,app.labresultreviews,/labresults,LabResultReviewController
public/js/custom-states.js,app.labsummaryreports,/labsummaryreports,LabsummaryReportController
public/js/custom-states.js,app.lisdashboard,/dashboard/:tp,DashboardController
public/js/custom-states.js,app.manageevent,/manageevent,ManageeventListController
public/js/custom-states.js,app.manageevents,/manageevents/:id,ManageeventFormController
public/js/custom-states.js,app.manufacturermasterreport,/manufacturermasterreport,ManufacturerMasterReportController
public/js/custom-states.js,app.medicalfitness,/medicalfitness,FitnessCertificateListController
public/js/custom-states.js,app.medicineexpiredreport,/medicineexpiredreport,MedicineExpiredReportController
public/js/custom-states.js,app.medicineexpiryreport,/medicineexpiryreport,MedicineExpiryReportController
public/js/custom-states.js,app.mrdfileassignment,/mrdfileassignment,MrdFileAssignmentController
public/js/custom-states.js,app.mrdfilestatus,/mrdfilestatus,MrdFileStatusController
public/js/custom-states.js,app.mrdfileupload,/mrdfileupload,MRDFileUploadListController
public/js/custom-states.js,app.mrdreceive,/mrdreceive,ReceiveatMrdController
public/js/custom-states.js,app.newticket,/newticket,newticketController
public/js/custom-states.js,app.occupation,/occupationmasters,occupationListController
public/js/custom-states.js,app.opddashboard,/opddashboard,OpddashboardController
public/js/custom-states.js,app.openingstockentryreport,/openingstockentryreport,OpeningStockEntryReportController
public/js/custom-states.js,app.opreferraldoctorreport,/opreferraldoctorreport,OPReferralDoctorReportController
public/js/custom-states.js,app.opserviceitemreport,/opserviceitemreport,OPserviceItemReportController
public/js/custom-states.js,app.otconfirmationform,/otconfirmationform/:id,otconfirmFormController
public/js/custom-states.js,app.otdoctornotes,/otdoctornotes,OtNoteReviewController
public/js/custom-states.js,app.otdoctornotes-form,/otdoctornotesreview,OtDetailReviewController
public/js/custom-states.js,app.otregistertab,otregistertab/:id,otregisterTabController
public/js/custom-states.js,app.otregistertab.anesthesiannote,otregistertab/anesthesiannote:id,AnesthesianNoteController
public/js/custom-states.js,app.otregistertab.documents,otregistertab/documents:id,otDocumentController
public/js/custom-states.js,app.otregistertab.equipmentsused,otregistertab/equipmentsused:id,EquipmentUsedController
public/js/custom-states.js,app.otregistertab.materialissue,/materialissue/:id,materialIssueFormController
public/js/custom-states.js,app.otregistertab.materialissues,otregistertab/materialissues:id,materialIssueListController
public/js/custom-states.js,app.otregistertab.materialrequest,/materialrequest/:id,materialRequestFormController
public/js/custom-states.js,app.otregistertab.materialrequests,otregistertab/materialrequests:id,materialRequestListController
public/js/custom-states.js,app.otregistertab.materialreturn,/materialreturn/:id,materialReturnFormController
public/js/custom-states.js,app.otregistertab.materialreturns,otregistertab/materialreturns:id,materialReturnListController
public/js/custom-states.js,app.otregistertab.otnotes,otregistertab/otnotes:id,otconsultationController
public/js/custom-states.js,app.otregistertab.otregister,otregistertab/otdetails:id,otregisterFormController
public/js/custom-states.js,app.otregistertab.surgicalnote,otregistertab/surgicalnote:id,SurgicalNoteController
public/js/custom-states.js,app.otrequest,/otrequest/:id,otrequestFormController
public/js/custom-states.js,app.otrequests,/otrequests,otrequestListController
public/js/custom-states.js,app.otworklists,/OTWorklists,otworkListController
public/js/custom-states.js,app.outpatientreport,/outpatientreport,OutPatientReportController
public/js/custom-states.js,app.outpatientsummaryreport,/outpatientsummaryreport,OutPatientSummaryReportController
public/js/custom-states.js,app.outstandingreports,/outstandingreports,OutstandingReportController
public/js/custom-states.js,app.patientlistreports,/patientlistreports,PatientListReportController
public/js/custom-states.js,app.pendingdischarges,/pendingdischarges,pendingdischargesController
public/js/custom-states.js,app.pendingporeport,/pendingporeport,PendingPOReportController
public/js/custom-states.js,app.pharmacybilldetailreport,/pharmacybilldetailreport,PharmacyBillDetailReportController
public/js/custom-states.js,app.pharmacycardcollectionreport,/pharmacycardcollectionreport,PharmacyCardCollectionReportController
public/js/custom-states.js,app.pharmacycollectionreport,/pharmacycollectionreport,PharmacyCollectionReportController
public/js/custom-states.js,app.pharmacycollectionsummarycashier,/pharmacycollectionsummarycashier,PharmacyCollectionSummaryCashierController
public/js/custom-states.js,app.pharmacycollectionsummaryreport,/pharmacycollectionsummaryreport,PharmacyCollectionSummaryReportController
public/js/custom-states.js,app.pharmacydiscountreport,/pharmacydiscountreport,PharmacyDiscountReportController
public/js/custom-states.js,app.pharmacyduereport,/pharmacyduereport,PharmacyDueReportController
public/js/custom-states.js,app.pharmacyrefundreport,/pharmacyrefundreport,PharmacyRefundReportController
public/js/custom-states.js,app.pharmacyreturnreport,/pharmacyreturnreport,PharmacyReturnReportController
public/js/custom-states.js,app.pharmacyreturnreportforotc,/pharmacyreturnreportforotc,PharmacyReturnReportforOTCController
public/js/custom-states.js,app.pharmacyschedulereport,/pharmacyschedulereport,PharmacyScheduleReportController
public/js/custom-states.js,app.pharmacyschedulexreport,/pharmacyschedulexreport,PharmacyScheduleXReportController
public/js/custom-states.js,app.pharmacystockreport,/pharmacystockreport,PharmacyStockReportController
public/js/custom-states.js,app.physiotheraphy,/physiotheraphy,physiotheraphyListController
public/js/custom-states.js,app.physiotheraphytab,/physiotheraphytab/:id,physiotheraphytabController
public/js/custom-states.js,app.physiotheraphytab.assessment,/physiotheraphyassessment,physiconsultationController
public/js/custom-states.js,app.physiotheraphytab.details,/physiotheraphies,physiotheraphyFormController
public/js/custom-states.js,app.prechecklist,/checklist,checkListController
public/js/custom-states.js,app.printlog,/printlogs,printListController
public/js/custom-states.js,app.producttypereport,/producttypereport,ProductTypeReportController
public/js/custom-states.js,app.purchaseorderreport,/purchaseorderreport,PurchaseOrderReportController
public/js/custom-states.js,app.purchasereturnreport,/purchasereturnreport,PurchaseReturnReportController
public/js/custom-states.js,app.purchasevendorpendingreport,/purchasevendorpendingreport,PurchaseVendorPendingReportController
public/js/custom-states.js,app.purchasevendorreport,/purchasevendorreport,PurchaseVendorReportController
